"code","name","level2_code","level2_name","level1_code","level1_name"
"SVA","Svalbard",10,"Northern Europe",1,"EUROPE"
"SWC","Southwest Caribbean",81,"Caribbean",8,"SOUTHERN AMERICA"
"SWE","Sweden",10,"Northern Europe",1,"EUROPE"
"SWI","Switzerland",11,"Middle Europe",1,"EUROPE"
"SWZ","Swaziland",27,"Southern Africa",2,"AFRICA"
"TAI","Taiwan",38,"Eastern Asia",3,"ASIA-TEMPERATE"
"TAN","Tanzania",25,"East Tropical Africa",2,"AFRICA"
"TAS","Tasmania",50,"Australia",5,"AUSTRALASIA"
"TCI","Turks-Caicos Is.",81,"Caribbean",8,"SOUTHERN AMERICA"
"TCS","Transcaucasus",33,"Caucasus",3,"ASIA-TEMPERATE"
"TDC","Tristan da Cunha",90,"Subantarctic Islands",9,"ANTARCTIC"
"TEN","Tennessee",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"TEX","Texas",77,"South-Central U.S.A.",7,"NORTHERN AMERICA"
"THA","Thailand",41,"Indo-China",4,"ASIA-TROPICAL"
"TKM","Turkmenistan",32,"Middle Asia",3,"ASIA-TEMPERATE"
"TOG","Togo",22,"West Tropical Africa",2,"AFRICA"
"TOK","Tokelau-Manihiki",60,"Southwestern Pacific",6,"PACIFIC"
"TON","Tonga",60,"Southwestern Pacific",6,"PACIFIC"
"TRT","Trinidad-Tobago",81,"Caribbean",8,"SOUTHERN AMERICA"
"TUA","Tuamotu",61,"South-Central Pacific",6,"PACIFIC"
"TUB","Tubuai Is.",61,"South-Central Pacific",6,"PACIFIC"
"TUE","Turkey-in-Europe",13,"Southeastern Europe",1,"EUROPE"
"TUN","Tunisia",20,"Northern Africa",2,"AFRICA"
"TUR","Turkey",34,"Western Asia",3,"ASIA-TEMPERATE"
"TUV","Tuvalu",60,"Southwestern Pacific",6,"PACIFIC"
"TVA","Tuva",30,"Siberia",3,"ASIA-TEMPERATE"
"TVL","Northern Provinces",27,"Southern Africa",2,"AFRICA"
"TZK","Tadzhikistan",32,"Middle Asia",3,"ASIA-TEMPERATE"
"UGA","Uganda",25,"East Tropical Africa",2,"AFRICA"
"UKR","Ukraine",14,"Eastern Europe",1,"EUROPE"
"URU","Uruguay",85,"Southern South America",8,"SOUTHERN AMERICA"
"UTA","Utah",76,"Southwestern U.S.A.",7,"NORTHERN AMERICA"
"UZB","Uzbekistan",32,"Middle Asia",3,"ASIA-TEMPERATE"
"VAN","Vanuatu",60,"Southwestern Pacific",6,"PACIFIC"
"VEN","Venezuela",82,"Northern South America",8,"SOUTHERN AMERICA"
"VER","Vermont",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"VIC","Victoria",50,"Australia",5,"AUSTRALASIA"
"VIE","Vietnam",41,"Indo-China",4,"ASIA-TROPICAL"
"VNA","Venezuelan Antilles",81,"Caribbean",8,"SOUTHERN AMERICA"
"VRG","Virginia",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"WAK","Wake I.",62,"Northwestern Pacific",6,"PACIFIC"
"WAL","Wallis-Futuna Is.",60,"Southwestern Pacific",6,"PACIFIC"
"WAS","Washington",73,"Northwestern U.S.A.",7,"NORTHERN AMERICA"
"WAU","Western Australia",50,"Australia",5,"AUSTRALASIA"
"WDC","District of Columbia",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"WHM","West Himalaya",40,"Indian Subcontinent",4,"ASIA-TROPICAL"
"WIN","Windward Is.",81,"Caribbean",8,"SOUTHERN AMERICA"
"WIS","Wisconsin",74,"North-Central U.S.A.",7,"NORTHERN AMERICA"
"WSA","Western Sahara",20,"Northern Africa",2,"AFRICA"
"WSB","West Siberia",30,"Siberia",3,"ASIA-TEMPERATE"
"WVA","West Virginia",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"WYO","Wyoming",73,"Northwestern U.S.A.",7,"NORTHERN AMERICA"
"XMS","Christmas I.",42,"Malesia",4,"ASIA-TROPICAL"
"YAK","Yakutskiya",30,"Siberia",3,"ASIA-TEMPERATE"
"YEM","Yemen",35,"Arabian Peninsula",3,"ASIA-TEMPERATE"
"YUG","Yugoslavia",13,"Southeastern Europe",1,"EUROPE"
"YUK","Yukon",70,"Subarctic America",7,"NORTHERN AMERICA"
"ZAI","Zaïre",23,"West-Central Tropical Africa",2,"AFRICA"
"ZAM","Zambia",26,"South Tropical Africa",2,"AFRICA"
"ZIM","Zimbabwe",26,"South Tropical Africa",2,"AFRICA"
